# Time-averaged data for fix myAT
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 500
235 1.876 1.0944 0.34316
236 1.884 1.09191 0.346807
237 1.892 1.09338 0.350489
238 1.9 1.11717 0.354284
239 1.908 1.06189 0.357921
240 1.916 1.09975 0.36172
241 1.924 1.08526 0.3655
242 1.932 1.07629 0.36928
243 1.94 1.07685 0.373093
244 1.948 1.07736 0.37694
245 1.956 1.10004 0.3809
246 1.964 1.08302 0.384831
247 1.972 1.10449 0.388872
248 1.98 1.10715 0.392956
249 1.988 1.05739 0.396888
250 1.996 1.09837 0.401005
251 2.004 1.10902 0.405196
252 2.012 1.07292 0.409283
253 2.02 1.11271 0.413555
254 2.028 1.08086 0.417737
255 2.036 1.09563 0.422011
256 2.044 1.06842 0.426211
257 2.052 1.08635 0.430515
258 2.06 1.08194 0.434835
259 2.068 1.05503 0.43908
260 2.076 1.10478 0.44356
261 2.084 1.10839 0.448089
262 2.092 1.0669 0.452483
263 2.1 1.08032 0.456965
264 2.108 1.06703 0.461427
265 2.116 1.04568 0.465832
266 2.124 1.05478 0.470309
267 2.132 1.07058 0.474888
268 2.14 1.06351 0.479471
269 2.148 1.05653 0.484057
270 2.156 1.04443 0.488625
271 2.164 1.07909 0.49338
272 2.172 1.03541 0.497976
273 2.18 1.05019 0.502672
274 2.188 1.04371 0.507373
275 2.196 1.02936 0.512044
276 2.204 1.05166 0.516851
277 2.212 1.03624 0.521621
278 2.22 1.06818 0.526575
279 2.228 1.04739 0.531467
280 2.236 1.03509 0.536336
281 2.244 1.04123 0.541269
282 2.252 1.0752 0.5464
283 2.26 1.04818 0.551437
284 2.268 1.01463 0.556348
285 2.276 1.04553 0.561444
286 2.284 1.03496 0.566524
287 2.292 1.02532 0.571592
288 2.3 1.00293 0.576584
289 2.308 1.01116 0.581652
290 2.316 1.04407 0.586921
291 2.324 1.00253 0.592016
292 2.332 1.01781 0.597224
293 2.34 1.02846 0.602523
294 2.348 1.04743 0.607956
295 2.356 1.01224 0.613243
296 2.364 1.03659 0.618693
297 2.372 1.02608 0.624125
298 2.38 1.05447 0.629745
299 2.388 1.01437 0.635188
300 2.396 1.01575 0.640675
301 2.404 1.01979 0.64622
302 2.412 1.02765 0.651845
303 2.42 1.00224 0.657368
304 2.428 1.00863 0.662963
305 2.436 1.01873 0.668651
306 2.444 1.00614 0.674305
307 2.452 1.01702 0.680059
308 2.46 1.04227 0.685993
309 2.468 1.01109 0.691788
310 2.476 1.00619 0.697592
311 2.484 1.01993 0.703513
312 2.492 1.02959 0.709529
313 2.5 1.01077 0.715473
314 2.508 1.02123 0.721517
315 2.516 1.03937 0.727708
316 2.524 1.01655 0.733801
317 2.532 1.0097 0.739892
318 2.54 1.03014 0.746145
319 2.548 1.03984 0.752497
320 2.556 1.02596 0.758804
321 2.564 1.02345 0.765135
322 2.572 1.0081 0.771409
323 2.58 1.01271 0.777752
324 2.588 0.985302 0.783961
325 2.596 1.04821 0.790608
326 2.604 1.03112 0.797187
327 2.612 1.02274 0.803752
328 2.62 1.01815 0.810328
329 2.628 1.0214 0.816965
330 2.636 1.03479 0.823731
331 2.644 0.997927 0.830295
332 2.652 1.00481 0.836944
333 2.66 1.02241 0.843751
334 2.668 1.01091 0.850521
335 2.676 1.03298 0.857481
336 2.684 0.999878 0.864259
337 2.692 1.0092 0.87114
338 2.7 1.00614 0.878041
339 2.708 1.01315 0.885032
340 2.716 1.01488 0.892076
341 2.724 1.02554 0.899236
342 2.732 1.01024 0.906331
343 2.74 1.00378 0.913421
344 2.748 1.01408 0.920627
345 2.756 1.03451 0.92802
346 2.764 0.996256 0.935181
347 2.772 1.01025 0.942485
348 2.78 1.02809 0.949961
349 2.788 0.997773 0.957259
350 2.796 1.00258 0.964633
351 2.804 1.01273 0.972125
