################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.9752411027046612E-01 a       117     1     1     2     2
  6.5414038140841879E-01 a       118     1     1     2     3
  3.8151388703450018E-01 a       119     1     1     2     4
 -8.7054159906789907E-01 a       120     1     1     2     5
  7.6360002950642047E-01 a       121     1     2     2     1
  1.0168823273255256E+00 a       122     1     2     2     2
 -6.5622144923044134E-01 a       123     1     2     2     3
  2.7841804474830434E-01 a       124     1     2     2     4
  1.1760362165420584E+00 a       125     1     2     2     5
  1.0412776395615696E-01 a       126     1     3     2     1
 -1.6528598872788647E-01 a       127     1     3     2     2
 -5.5993289011797176E-01 a       128     1     3     2     3
 -4.2297389976810922E-02 a       129     1     3     2     4
  6.4440362364581538E-01 a       130     1     3     2     5
 -1.3723389841752406E-01 a       131     1     4     2     1
 -5.5502848257609427E-01 a       132     1     4     2     2
 -1.1860461731386143E-01 a       133     1     4     2     3
 -1.6593893858483030E-01 a       134     1     4     2     4
 -2.0687719466482886E+00 a       135     1     4     2     5
  7.6634039235915463E-01 a       136     1     5     2     1
 -8.1807227650237013E-01 a       137     1     5     2     2
  6.7467613739245225E-01 a       138     1     5     2     3
  3.1077506140938094E-01 a       139     1     5     2     4
  2.3161255470320855E-01 a       140     1     5     2     5
  3.7058891952786227E-01 b       141     2     1
  4.7194709593833539E-01 b       142     2     2
  1.0861222905072518E-01 b       143     2     3
  6.4613485806973270E-01 b       144     2     4
  3.2087035728041891E-01 b       145     2     5
  3.4735377179761318E-01 a       146     2     1     3     1
 -1.2912426977303559E-01 a       147     2     2     3     1
  1.8563372046227089E-01 a       148     2     3     3     1
 -1.5622297084991057E+00 a       149     2     4     3     1
 -1.0606548593675304E-01 a       150     2     5     3     1
 -8.4530783647424867E-01 b       151     3     1
