# Time-averaged data for fix myAT
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
50000 500
238 1.9 2.69758 23.8172
239 1.908 2.92447 24.8834
240 1.916 3.11281 26.0277
241 1.924 3.25888 27.2357
242 1.932 3.35633 28.4902
243 1.94 3.3885 29.7673
244 1.948 3.36381 31.0455
245 1.956 3.26522 32.2965
246 1.964 3.12957 33.5053
247 1.972 2.94429 34.6519
248 1.98 2.72699 35.7225
249 1.988 2.47963 36.7038
250 1.996 2.20917 37.5852
251 2.004 1.93917 38.365
252 2.012 1.67759 39.0451
253 2.02 1.43204 39.6302
254 2.028 1.19842 40.1238
255 2.036 0.985252 40.5327
256 2.044 0.808574 40.871
257 2.052 0.641537 41.1415
258 2.06 0.508306 41.3575
259 2.068 0.398099 41.528
260 2.076 0.315973 41.6644
261 2.084 0.252827 41.7743
262 2.092 0.208534 41.8657
263 2.1 0.181948 41.9461
264 2.108 0.173996 42.0235
265 2.116 0.184518 42.1062
266 2.124 0.209631 42.2009
267 2.132 0.251924 42.3156
268 2.14 0.313983 42.4596
269 2.148 0.383965 42.637
270 2.156 0.461623 42.8519
271 2.164 0.553925 43.1116
272 2.172 0.660256 43.4236
273 2.18 0.756583 43.7836
274 2.188 0.865391 44.1985
275 2.196 0.963827 44.6639
276 2.204 1.05488 45.1771
277 2.212 1.13145 45.7314
278 2.22 1.19374 46.3206
279 2.228 1.23396 46.934
280 2.236 1.26182 47.5657
281 2.244 1.25763 48.1999
282 2.252 1.23653 48.8278
283 2.26 1.19158 49.4373
284 2.268 1.13379 50.0213
285 2.276 1.06124 50.5718
286 2.284 0.973529 51.0804
287 2.292 0.882925 51.5448
288 2.3 0.790193 51.9634
289 2.308 0.698817 52.3362
290 2.316 0.61446 52.6662
291 2.324 0.531813 52.9539
292 2.332 0.460503 53.2046
293 2.34 0.406927 53.4278
294 2.348 0.363052 53.6282
295 2.356 0.336292 53.8151
296 2.364 0.325174 53.9971
297 2.372 0.33106 54.1836
298 2.38 0.359509 54.3875
299 2.388 0.399056 54.6154
300 2.396 0.462138 54.8811
301 2.404 0.543974 55.1959
302 2.412 0.639993 55.5687
303 2.42 0.75211 56.0098
304 2.428 0.880344 56.5295
305 2.436 1.01093 57.1302
306 2.444 1.15131 57.8189
307 2.452 1.29543 58.5988
308 2.46 1.43429 59.468
309 2.468 1.55922 60.419
310 2.476 1.67967 61.4502
311 2.484 1.77377 62.5462
312 2.492 1.84647 63.6944
313 2.5 1.89245 64.8788
314 2.508 1.90567 66.0792
315 2.516 1.89153 67.2782
316 2.524 1.84803 68.4571
317 2.532 1.77863 69.599
318 2.54 1.68191 70.6856
319 2.548 1.5691 71.7057
320 2.556 1.43963 72.6475
321 2.564 1.30642 73.5076
